name,norad,line1,line2,launch_date,launch_site,epoch_raw,epoch_day,epoch_utc,epoch_iso
APSTAR-6C,43450,1 43450U 18041A   26244.77121807  .00000000  00000+0  00000+0 0  9999,2 43450   0.0140 319.9703 0001826 273.9761 158.6419  1.00269756 30572,2018-05-03,XICLF,26244.77121807,2026年244日目,2026/09/01 18:30:33 UTC,2026-09-01T18:30:33.241248Z
APSTAR-6D,45863,1 45863U 20045A   26244.77121807 -.00000315  00000+0  00000+0 0  9996,2 45863   0.0387 102.7374 0002271 346.4193 303.4406  1.00274391 22621,2020-07-09,XICLF,26244.77121807,2026年244日目,2026/09/01 18:30:33 UTC,2026-09-01T18:30:33.241248Z
APSTAR-6E,55239,1 55239U 23005A   26244.62865078 -.00000315  00000+0  00000+0 0  9992,2 55239   0.0529 255.3440 0003487 309.0835 136.6913  1.00271283 19468,2023-01-12,XICLF,26244.62865078,2026年244日目,2026/09/01 15:05:15 UTC,2026-09-01T15:05:15.427392Z
APSTAR-7,38107,1 38107U 12013A   26244.11816367 -.00000098  00000+0  00000+0 0  9993,2 38107   0.0269 117.2534 0003745  51.2945 290.7782  1.00271321 52588,2012-03-31,XICLF,26244.11816367,2026年244日目,2026/09/01 02:50:09 UTC,2026-09-01T02:50:09.341088Z
APSTAR-9,40982,1 40982U 15059A   26244.63021078 -.00000263  00000+0  00000+0 0  9998,2 40982   0.0396 314.5536 0002574 226.3820 168.7471  1.00269593 39877,2015-10-16,XICLF,26244.63021078,2026年244日目,2026/09/01 15:07:30 UTC,2026-09-01T15:07:30.211392Z
BEIDOU-2 G1,36287,1 36287U 10001A   26244.45516480 -.00000276  00000+0  00000+0 0  9993,2 36287   4.4668  60.0839 0001662 258.1151 326.7625  1.00273612 60931,2010-01-16,XICLF,26244.45516480,2026年244日目,2026/09/01 10:55:26 UTC,2026-09-01T10:55:26.238720Z
BEIDOU-2 G3,36590,1 36590U 10024A   26244.61781740 -.00000131  00000+0  00000+0 0  9996,2 36590   4.6907  61.1085 0005082   5.2642 216.3600  1.00269574 59530,2010-06-02,XICLF,26244.61781740,2026年244日目,2026/09/01 14:49:39 UTC,2026-09-01T14:49:39.423360Z
BEIDOU-2 G4,37210,1 37210U 10057A   26244.66123285 -.00000109  00000+0  00000+0 0  9996,2 37210   3.8299  68.4053 0007482 177.7052 132.7870  1.00271409 58052,2010-10-31,XICLF,26244.66123285,2026年244日目,2026/09/01 15:52:10 UTC,2026-09-01T15:52:10.518240Z
BEIDOU-2 G5,38091,1 38091U 12008A   26244.61374405  .00000059  00000+0  00000+0 0  9992,2 38091   3.7572  69.1466 0006248 248.0580 303.2648  1.00275189 53137,2012-02-24,XICLF,26244.61374405,2026年244日目,2026/09/01 14:43:47 UTC,2026-09-01T14:43:47.485920Z
BEIDOU-2 G6,38953,1 38953U 12059A   26244.61868406 -.00000173  00000+0  00000+0 0  9992,2 38953   4.6076  72.6550 0007143 327.2157 247.6920  1.00272531 50679,2012-10-25,XICLF,26244.61868406,2026年244日目,2026/09/01 14:50:54 UTC,2026-09-01T14:50:54.302784Z
